Experience_Years,Training_Hours,Attendance_Percentage,Projects_Completed,Performance_Score
7,66,98,13,95.49
4,15,88,6,70.32
13,37,85,7,96.08
11,37,94,14,96.89
8,53,84,13,96.24
13,93,83,8,95.95
5,39,72,10,80.42
7,71,66,9,90.16
10,84,95,2,75.71
3,98,79,11,83.87
7,71,60,10,86.12
11,10,67,2,78.21
11,36,75,5,82.67
8,71,73,13,91.75
5,86,71,5,87.2
4,12,82,6,76.87
8,79,74,3,76.61
8,81,87,8,91.08
3,36,93,13,85.55
6,18,61,1,71.74
5,71,91,6,87.43
2,46,82,4,69.68
8,60,81,1,78.55
12,53,84,7,80.93
14,33,81,9,96.84
6,88,81,13,96.28
2,68,65,4,75.31
12,41,74,4,81.73
5,97,96,6,88.89
1,61,92,12,80.64
12,71,67,3,78.26
10,67,64,13,88.64
6,61,98,12,82.95
13,21,63,6,85.17
12,48,65,7,73.98
9,11,91,11,96.26
1,12,89,10,63.73
11,65,94,10,100.0
11,90,99,3,88.81
10,68,75,7,90.16
12,11,72,14,85.69
12,11,89,3,88.87
14,63,78,13,100.0
14,96,76,13,100.0
14,10,78,2,79.78
3,28,87,12,81.61
12,11,85,14,95.78
7,62,96,10,88.16
4,53,85,4,68.6
9,99,82,12,91.74
3,41,68,8,72.5
5,79,71,13,85.26
3,41,60,9,60.72
7,77,60,7,83.01
5,64,93,1,70.46
9,84,91,3,81.65
7,65,84,13,91.64
2,26,99,12,76.55
4,47,60,14,80.46
9,33,75,9,92.87
12,78,98,12,100.0
14,79,64,1,79.75
2,95,81,9,84.21
10,20,88,8,80.72
9,25,62,1,69.07
10,82,71,6,88.83
5,68,85,5,79.77
2,79,75,6,76.08
4,89,96,10,91.31
12,12,81,12,97.44
12,29,88,13,93.69
7,68,73,13,90.19
12,45,87,13,100.0
13,28,64,5,83.06
8,99,89,6,89.51
3,76,64,5,77.41
14,28,71,11,86.79
1,29,75,12,72.87
4,80,85,5,76.39
2,61,85,4,76.08
8,42,80,3,82.85
4,49,98,3,77.57
2,48,95,4,74.13
14,91,92,9,99.07
6,10,89,2,66.64
6,20,96,9,75.83
10,66,82,1,70.72
4,98,69,14,87.79
6,59,64,1,68.56
13,32,95,5,99.91
2,40,93,6,82.26
10,51,90,6,90.13
12,16,69,3,86.67
2,25,78,7,76.6
10,99,91,9,88.36
14,69,60,11,99.89
4,11,64,12,76.61
14,10,63,10,83.8
8,57,75,8,76.82
14,21,83,6,90.08
7,78,75,12,79.95
12,46,61,8,84.64
9,41,87,12,87.71
14,18,91,5,81.16
8,28,86,8,88.24
5,57,79,10,82.59
13,89,83,12,100.0
2,12,71,4,66.89
5,29,94,10,82.31
8,33,92,8,86.81
10,63,92,10,98.53
9,42,96,12,96.03
12,33,71,2,79.53
12,84,62,12,100.0
12,81,60,12,100.0
13,45,92,5,89.82
9,47,99,9,86.55
13,93,69,4,93.69
13,98,88,11,100.0
1,34,72,6,75.34
9,27,71,1,76.44
7,91,90,9,96.27
9,75,61,1,76.26
8,63,94,5,81.57
1,44,82,4,67.41
12,89,76,13,100.0
8,70,85,12,84.5
8,50,67,13,93.06
11,42,88,13,100.0
3,77,85,14,79.38
1,42,69,3,56.65
8,23,85,13,88.45
3,30,93,6,71.54
3,57,66,2,68.25
1,29,63,3,59.84
11,17,70,5,72.43
5,16,88,9,84.14
10,76,95,2,89.87
7,26,84,10,79.6
10,42,80,8,93.43
9,57,95,14,95.06
12,85,69,2,79.19
7,68,96,11,93.82
9,95,68,13,97.12
8,31,83,5,81.06
12,39,94,7,94.23
2,47,94,8,80.73
1,60,95,1,72.83
7,63,77,6,78.53
7,17,98,1,70.35
14,36,91,2,90.26
8,36,83,1,75.57
5,30,82,11,84.8
3,39,91,5,65.56
12,37,96,10,92.05
8,73,71,9,96.04
6,78,72,6,83.66
11,70,82,11,97.18
3,57,84,11,85.79
1,28,94,1,76.44
3,13,89,13,89.29
5,44,76,1,61.4
14,73,79,2,83.05
3,58,84,9,71.93
1,26,81,3,60.51
5,53,72,1,69.92
10,39,78,5,82.56
7,55,95,7,78.25
14,15,71,6,73.86
7,46,78,12,82.48
11,33,71,1,79.98
9,55,68,5,85.2
10,62,66,5,90.33
10,69,87,6,89.14
12,72,73,3,89.79
13,94,90,5,100.0
3,41,78,7,71.07
7,96,75,5,86.59
1,42,64,5,68.09
4,76,94,5,77.35
13,27,71,10,96.51
4,34,84,10,78.91
14,63,80,3,89.49
5,67,95,1,72.76
7,76,82,5,79.5
7,55,75,14,78.32
13,33,98,9,95.03
11,41,98,14,100.0
13,56,73,1,77.26
4,95,90,3,96.23
13,32,64,13,97.97
7,75,94,13,93.48
11,36,82,4,82.34
3,11,88,14,79.27
6,99,70,1,86.08
12,26,77,1,79.94
2,42,71,8,77.56
10,18,68,2,73.89
13,52,69,12,93.39
14,57,76,8,94.78
